C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='A'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
129 |HD 219674                          |*  |23 17 10.1909813112 +54 34 00.864482592|     ~   |9.48     |9.46     |     ~   |     ~   |A              |   3|   0
130 |HD 220087                          |*  |23 20 28.2751341720 +55 30 21.708256932|     ~   |9.16     |9.09     |     ~   |     ~   |A              |   8|   0
131 |AG+55 1656                         |*  |23 20 26.1207586488 +55 31 26.881606776|     ~   |9.932    |9.783    |9.909    |     ~   |A              |   0|   0
132 |HD 220181                          |*  |23 21 16.5688065600 +55 12 38.896189308|     ~   |9.14     |9.05     |     ~   |     ~   |A              |   2|   0
133 |HD 219383                          |*  |23 14 45.7238317464 +53 55 59.004300432|8.850    |9.150    |9.050    |     ~   |     ~   |A              |   8|   0
134 |HD 224600                          |Pu*|23 59 05.7224721960 +55 57 21.947866524|     ~   |8.38     |8.36     |     ~   |     ~   |A              |  17|   0
135 |HD 223344                          |*  |23 48 39.1954880544 +55 06 35.322670800|     ~   |9.37     |9.27     |     ~   |     ~   |A              |   4|   0
136 |HD 223970                          |EB*|23 54 01.4350357416 +55 26 25.247541444|     ~   |9.01     |8.91     |     ~   |     ~   |A              |   5|   0
137 |HD 223530                          |*  |23 50 10.7476967328 +54 21 30.570803640|     ~   |9.25     |9.16     |     ~   |     ~   |A              |   3|   0
138 |HD 223058                          |*  |23 46 01.4659022568 +55 18 27.953983260|     ~   |8.90     |8.82     |     ~   |     ~   |A              |   3|   0
139 |HD 206                             |*  |00 06 59.6747604600 +53 58 29.469603864|     ~   |9.01     |8.98     |     ~   |     ~   |A              |  13|   0
140 |TYC 3656-1328-1                    |*  |00 09 21.9858026376 +54 39 43.919404164|     ~   |11.47    |11.37    |     ~   |     ~   |A              |  22|   1
