,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
231,V* V912 Oph,M,17 54 11.2539,+01 46 53.776,--,11.4,9.89,--,--,9.144172,6.617,5.828,5.602
232,Cl Trumpler   37  1366,A,21 01 48.4163,+59 35 40.694,--,12.85,12.26,--,--,11.993661,10.807,10.614,10.521
233,LS   I +64   64,B,01 21 40.3095,+64 51 55.512,--,12.74,12.19,--,--,11.982684,10.928,10.818,10.744
234,Cl Trumpler   37  1362,F,21 49 07.7122,+59 09 56.172,--,12.52,12.21,--,--,11.721189,10.693,10.443,10.37
235,BD+67  1181,K,19 41 01.3924,+68 13 10.277,--,12.04,10.91,--,--,10.582716,8.985,8.455,8.336
236,BD+62  1008,F,08 40 31.7114,+62 00 05.462,--,10.82,10.27,--,--,10.195374,--,--,--
237,BD+62  1736,K,19 35 29.4883,+62 26 45.599,--,11.33,9.83,--,--,9.43758,7.523,6.894,6.734
238,HD 286584,G,04 11 32.1749,+13 19 49.129,--,12.36,12.09,--,--,11.783051,10.431,10.06,9.996
239,IRAS 17017-3517,O,17 05 05.1280,-35 21 53.259,--,--,--,--,--,13.349043,6.259,4.99,4.262
240,Terz V 3861,O,17 13 46.6204,-34 37 19.092,--,--,--,--,13.85,15.160471,9.732,8.454,7.748
241,IRAS 17555-3712,O,17 58 54.6249,-37 12 58.644,--,--,--,--,--,--,15.743,12.209,9.377
242,HD 284805,F,04 49 19.6687,+20 36 55.164,--,12.19,11.55,--,--,11.390333,10.057,9.79,9.666
243,BD-22  1139,K,05 31 39.6968,-22 52 36.734,--,10.957,10.052,9.5,9.271,9.837243,8.48,8.017,7.852
244,StKM 1-1753,K,20 04 52.3533,+49 21 49.098,--,11.82,10.19,--,--,9.644424,7.552,6.807,6.663
245,BD-18  1582,M,06 52 04.5126,-18 38 16.468,--,10.32,8.73,--,--,7.824778,5.246,4.571,4.352
246,BD+46  1071,G,05 56 55.3927,+46 40 47.297,--,10.33,9.8,--,--,--,8.659,8.42,8.359
247,BD+78   693,K,19 47 10.6944,+79 17 59.870,--,11.62,10.32,--,--,10.024189,8.117,7.467,7.344
248,SBSS 1510+510,G,15 12 11.4504,+50 48 51.670,--,18.1,--,17.1,--,17.281773,16.22,16.05,15.89
249,Cl Trumpler   37  1825,F,21 04 02.6322,+60 33 41.236,--,12.68,12.34,--,--,12.130421,11.118,10.829,10.766
250,IRAS 17185-4219,O,17 22 09.2386,-42 22 21.015,--,--,--,--,--,13.42621,7.486,6.198,5.435
251,BD+63  1474,K,18 59 23.7956,+63 28 59.551,--,10.8,9.35,--,--,8.798254,6.677,5.93,5.732
252,HD 287389,A,05 03 18.7155,+12 16 11.044,--,12.28,11.46,11.84,--,11.77789,10.96,10.854,10.816
253,TYC 3717-277-1,B,03 58 51.8250,+52 37 19.483,--,11.02,10.67,--,--,10.551042,9.861,9.796,9.743
254,HD  18848,G,03 01 08.9006,-26 27 40.615,--,10.92,10.43,--,--,10.288133,9.529,9.278,9.233
255,IRAS 17155-3842,O,17 18 56.0945,-38 45 13.113,--,--,--,--,--,11.610387,5.51,3.49,2.837
256,G  10-35,M,11 35 35.7118,+04 14 14.685,--,15.87,14.2,13.95,--,13.992551,10.95,10.383,10.161
257,HD 294047,F,05 25 29.0686,-02 27 40.842,--,12.01,11.62,--,--,11.233229,10.282,10.067,9.996
258,HD  82718,K,09 39 44.9161,+77 23 01.269,--,10.03,9.04,--,--,8.793659,7.296,6.811,6.724
259,HD  83255,G,09 40 35.2814,+69 35 37.936,--,9.75,9.19,--,--,9.065627,8.144,7.895,7.849
260,HD  27474,A,04 24 38.7146,+65 46 35.602,--,10.03,9.75,--,--,9.73014,9.255,9.216,9.148
261,IRAS 17206-3521,O,17 23 59.5269,-35 24 07.930,--,--,--,--,--,--,11.393,8.175,6.387
262,TYC 3576-964-1,A,20 23 38.1460,+46 56 53.976,--,11.21,11.12,--,--,10.982492,10.646,10.622,10.618
263,BD+42  3598,F,20 08 00.6038,+42 27 14.643,--,9.98,9.47,--,--,9.290794,8.367,8.098,8.106
264,TYC 4142-680-1,G,09 39 19.9774,+65 43 23.171,--,12.15,11.37,--,--,11.314837,10.246,9.907,9.864
265,HD 130524,K,14 47 10.7890,+46 06 56.216,--,11.45,10.46,--,--,10.03566,8.35,7.773,7.667
266,EC 04517-2250,F,04 53 52.1821,-22 45 35.094,--,11.38,10.864,--,--,10.784443,9.981,9.802,9.711
267,LINEAR 22969930,F,10 41 21.3115,+29 06 03.227,--,--,14.32,--,--,14.344857,13.357,13.032,13.02
268,V* V792 Cep,F,01 08 00.9711,+84 47 24.726,--,13.5,--,--,--,13.472288,12.686,12.483,12.439
269,HD 142737,K,15 52 35.1252,+62 19 03.625,--,10.76,9.51,--,--,9.19169,7.477,6.938,6.795
270,IRAS 17363-2905,O,17 39 35.2944,-29 07 24.423,--,--,--,--,--,--,--,11.192,8.427
271,CHSS   72,F,10 55 34.1722,+29 41 50.827,--,--,14.65,--,--,14.495414,13.731,13.522,13.465
272,OH 000.03-00.13,O,17 46 35.3416,-28 58 57.316,--,--,--,--,--,--,--,--,--
273,LS   I +62  230,B,02 54 16.7894,+62 51 24.297,11.54,11.6,11.1,--,--,11.149312,10.048,9.883,9.821
274,IRAS 17066-3457,O,17 09 59.4973,-35 00 57.977,--,--,--,--,--,15.065924,10.239,8.186,6.619
275,BD+54  2616,A,21 45 57.6443,+55 31 57.236,--,11.64,10.09,--,--,9.385254,6.901,6.075,5.873
276,HD 237481,A,06 21 55.2943,+54 58 52.196,--,10.7,10.34,--,--,10.232699,9.482,9.356,9.305
277,IRAS 16298-4012,O,16 33 20.1879,-40 18 41.016,--,--,--,--,--,10.72829,5.237,3.896,3.43
278,HD 237799,G,09 15 56.9557,+54 37 03.556,--,11.43,10.94,--,--,10.761081,9.865,9.627,9.576
279,AP J18530812-3008503,M,18 53 08.1249,-30 08 50.302,--,17.27,--,15.2,--,14.996437,12.125,11.197,10.955
280,HD  26309,A,04 11 34.5949,+45 02 52.922,--,11.01,10.55,--,--,10.259393,9.166,9.004,8.914
281,HD 284493,G,04 29 26.3331,+22 01 56.743,--,12.25,11.6,--,--,11.401035,10.023,9.76,9.656
282,2MASSs J0258110+192908,M,02 58 11.03,+19 29 08.0,--,--,--,--,--,--,--,--,--
283,IRAS 16597-3553,O,17 03 03.9726,-35 57 43.342,--,--,--,--,--,11.978558,6.648,5.43,4.671
284,IRAS 17240-3449,O,17 27 23.7379,-34 52 13.898,--,--,--,--,--,17.490238,7.188,4.402,2.811
285,HD 284936,A,05 01 49.5991,+23 52 47.963,--,10.0,--,--,--,11.950556,11.357,11.275,11.182
286,ALS 15161,B,20 33 10.34,+41 13 06.4,16.63,16.0,14.05,--,--,--,--,--,--
287,IRAS 17090-3516,O,17 12 24.4771,-35 20 15.938,--,--,--,--,--,11.517076,5.285,3.76,3.12
288,LP  375-91,M,11 55 25.7470,+20 30 15.942,--,--,13.93,--,--,14.021281,13.132,12.854,12.811
289,HD 128921,K,14 38 19.0464,+46 26 13.560,--,10.96,10.56,--,--,10.365262,9.415,9.149,9.086
290,IRAS 17178-3910,O,17 21 19.9810,-39 13 47.559,--,--,--,--,--,16.758364,7.761,5.774,4.612
291,[MK97]  9,M,20 52 16.6296,+53 37 23.271,--,--,--,13.74,--,11.729758,7.621,6.44,5.982
292,CSI+37-01582  1,F,02 01.2,+37 40,--,--,--,--,--,--,--,--,--
293,LS   I +62  195,B,01 57 09.4350,+63 04 01.101,10.77,11.38,11.06,--,--,10.878564,10.223,10.187,10.166
294,[MK97] 67,M,21 35 45.0925,+55 13 02.679,--,15.74,13.58,12.5,--,11.611136,8.13,6.98,6.588
295,HD 279710,A,04 20 39.5687,+38 51 29.428,--,12.48,11.12,--,--,11.36307,10.017,9.786,9.719
296,BD+47  3293,F,21 06 36.3850,+47 46 31.817,--,11.03,10.6,--,--,10.582584,9.926,9.744,9.699
297,BD+06   612,G,03 59 31.7432,+06 52 50.994,--,11.52,11.11,--,--,10.781047,9.656,9.306,9.236
298,BD-18   637,K,03 36 54.4828,-17 52 31.074,--,11.18,10.13,--,--,9.905659,8.366,7.848,7.79
299,HD  98879,G,11 23 16.6004,+45 50 05.826,--,10.21,9.62,--,--,9.49649,8.557,8.329,8.297
300,HD  25091,A,04 01 20.4105,+47 11 14.446,--,11.02,10.56,--,--,10.504368,9.695,9.524,9.467
301,HD 201090,K,21 06 11.6137,+40 58 36.882,--,9.5,8.44,--,--,8.183851,6.645,6.153,6.069
302,2MASS J22570209+6244070,K,22 57 02.0936,+62 44 07.106,19.019,--,15.3,--,13.27,14.47055,11.807,11.074,10.832
303,HD  22003,A,03 34 25.1454,+41 56 58.349,--,9.69,9.55,--,--,9.494617,9.097,9.056,9.041
304,HD  46527,A,06 38 43.9297,+64 47 19.719,--,9.67,9.5,--,--,9.513921,9.282,9.242,9.223
305,IRAS 17317-2852,O,17 34 52.5732,-28 54 12.825,--,--,--,--,--,19.77365,11.61,9.267,7.827
306,HD  58047,K,07 28 52.1876,+67 03 33.771,--,10.24,8.97,--,--,8.614665,6.827,6.215,6.066
307,HD  83349,G,09 41 17.3301,+69 18 24.069,--,9.52,8.97,--,--,8.876541,7.99,7.741,7.741
308,LS III +48   10,B,20 53 56.4729,+48 53 47.285,--,12.01,11.32,--,--,11.144328,9.936,9.803,9.739
309,[IG95]  95-10,M,18 52 42.2583,-29 47 31.832,--,17.64,--,15.06,--,15.04024,12.247,11.372,11.076
310,HD 131618,K,14 53 00.7945,+46 31 57.165,--,11.2,10.19,--,--,9.89654,8.35,7.874,7.723
311,HD 104987,G,12 05 18.2574,+55 58 49.017,--,9.64,9.27,--,--,9.180606,8.549,8.405,8.316
312,Cl Trumpler   37  1612,F,21 06 13.9089,+60 03 01.880,--,12.9,--,--,--,11.93319,10.718,10.46,10.37
313,HD   4441,G,00 47 40.9036,+66 41 06.419,--,9.45,8.9,--,--,8.812318,7.923,7.68,7.63
314,HD   8800,F,01 27 38.4253,+44 39 04.285,--,10.82,10.4,--,--,10.44327,9.758,9.581,9.524
315,[FS2003] 1090,K,20 45 17.85,+56 41 48.0,--,--,--,--,--,--,--,--,--
316,IRAS 17361-2807,O,17 39 19.3819,-28 08 35.753,--,--,--,--,--,19.952873,10.513,7.766,5.859
317,CHSS  565,F,09 02 15.8388,+29 14 52.205,--,--,14.19,--,--,14.071807,13.2,12.927,12.935
318,BD+50  2240,K,15 59 08.9671,+49 46 50.736,--,10.28,9.22,--,--,8.988543,7.467,6.95,6.864
319,CD-40  1919,M,05 29 39.0928,-40 26 26.426,--,10.9,9.98,--,--,9.668597,8.2,7.729,7.578
320,HD 223058,A,23 46 01.4659,+55 18 27.953,--,8.9,8.82,--,--,8.757067,8.483,8.453,8.419
321,HD 238605,K,16 45 25.4589,+57 27 32.789,--,11.44,10.68,--,--,10.442847,9.233,8.828,8.761
322,IRAS 17391-3133,O,17 42 24.3849,-31 35 07.382,--,--,--,--,--,--,--,13.583,10.062
323,BD+71  1155,G,22 37 37.7326,+72 01 57.042,--,12.12,11.52,--,--,11.250402,10.293,10.009,10.01
324,SDSS J125600.99-001125.8,M,12 56 00.9925,-00 11 25.799,--,19.55,--,--,--,17.438822,15.108,14.356,14.17
325,BD+38   805,G,03 47 12.8077,+39 11 08.483,--,10.31,8.99,--,--,8.593164,6.67,6.064,5.92
326,BD+73  1017,K,23 09 43.2282,+73 51 14.178,--,11.62,9.84,--,--,8.931452,6.176,5.229,4.985
327,IRAS 17208-3702,O,17 24 15.7643,-37 05 27.763,--,--,--,--,--,18.156431,10.372,7.553,5.812
328,[COC99] 14,M,01 16 23.367,+33 23 26.00,--,--,22.03,--,--,--,--,--,--
329,EC 04515-3754,A,04 53 14.4111,-37 49 15.924,13.0,12.17,12.44,--,--,12.268286,11.565,11.413,11.357
330,HD 288260,F,05 46 06.3018,+00 57 02.349,--,11.86,11.81,--,--,11.5532,10.515,10.235,10.19
331,HD  29798,A,04 44 29.4364,+53 40 52.311,--,9.2,9.03,--,--,8.980686,8.509,8.463,8.429
332,OH 000.225-00.055,O,17 46 22.1119,-28 46 22.609,--,--,--,--,--,--,--,12.455,9.91
333,CHSS  747,F,10 13 45.6231,+29 16 42.261,--,--,13.67,--,--,13.534866,12.639,12.401,12.364
334,AG+50 1705,K,21 52 41.0462,+50 24 06.457,--,11.7,9.65,--,--,8.357096,5.3,4.406,4.022
335,WEL M21,M,02 40 22.1597,-34 15 33.923,--,--,19.7,--,--,18.396671,15.651,15.065,14.676
336,BD+78   773,K,21 58 14.4063,+79 25 35.412,--,11.67,10.38,--,--,9.825226,7.721,7.109,6.953
337,V* DI Per,M,02 22 36.3263,+54 09 21.499,--,--,--,--,--,12.331827,8.25,6.986,6.17
338,[FS2003] 0968,K,18 19 22.404,+60 55 09.01,--,--,--,--,--,--,--,--,--
339,LS   I +55   53,B,03 55 15.7343,+55 30 18.248,12.67,12.6,11.68,--,--,11.534575,9.97,9.731,9.573
340,HD 219812,K,23 18 13.6922,+56 15 11.868,--,9.62,8.55,--,--,8.245565,6.602,6.115,5.99
341,BD+49  3309,B,20 32 36.8234,+49 57 43.073,--,10.07,9.93,--,--,9.808816,9.526,9.427,9.382
342,BD+04   981,M,05 35 45.3958,+04 44 42.347,--,12.44,10.905,10.442,--,10.33069,8.102,7.34,7.134
343,TYC 4266-2495-1,F,21 59 54.4080,+62 00 04.654,--,10.89,10.29,--,--,10.161163,9.244,8.924,8.889
344,HD 275741,G,03 43 29.4161,+39 03 48.995,--,11.45,10.82,--,--,10.692506,9.665,9.397,9.343
345,TYC 4543-1611-1,A,08 21 05.4850,+78 54 20.188,--,11.95,11.5,--,--,11.59703,10.993,10.863,10.822
346,EM* LkHA  375,B,20 56 24.4950,+44 56 22.382,--,--,16.0,--,--,13.310169,11.273,10.912,10.638
347,IRAS 16556-3858,O,16 59 06.1418,-39 03 11.481,--,--,--,--,--,13.844905,7.14,5.83,5.065
348,HS 1527+4853,A,15 29 26.7782,+48 42 59.546,--,--,--,--,--,17.020231,16.226,15.808,--
349,TYC 3464-522-1,K,13 49 56.7394,+47 26 30.275,--,12.31,11.37,--,--,11.101726,9.547,8.978,8.897
350,HD 113695,G,13 04 08.4981,+65 52 29.734,--,9.73,9.26,--,--,9.173733,--,--,--
351,CHSS   70,F,10 54 37.4682,+28 53 07.036,--,--,15.48,--,--,15.341755,14.499,14.212,14.241
352,LS III +56   38,B,22 18 39.4939,+56 56 31.849,--,11.8,11.03,--,--,10.808047,9.325,9.158,8.961
353,V* V362 Cas,B,00 02 21.4670,+63 28 07.327,--,--,12.67,--,--,12.517113,11.455,11.34,11.275
354,HD 152578,F,16 51 18.4819,+53 47 05.002,9.56,9.43,9.19,--,--,9.170898,8.687,8.619,8.583
355,LS III +57   40,B,22 18 57.2892,+58 05 07.460,--,11.51,10.84,--,--,10.274377,8.486,8.287,8.089
356,CD-41  2414,K,06 27 39.8032,-41 10 48.292,--,11.01,9.98,--,--,9.691704,8.213,7.75,7.614
357,HD   2484,A,00 29 08.6426,+63 28 47.218,--,9.5,9.16,--,--,9.163337,8.392,8.285,8.256
358,BD-17  5238,M,18 34 12.4087,-17 41 41.191,--,11.1,9.23,--,--,7.76406,5.054,3.817,3.531
359,IRAS 21257+5438,M,21 27 22.2303,+54 51 03.936,--,15.87,13.42,12.57,--,10.656094,6.488,5.345,4.895
360,HD 275512,A,03 30 14.1000,+37 16 37.207,--,12.04,11.42,--,--,11.632301,10.831,10.747,10.69
361,HD 276375,G,04 25 06.8070,+39 30 47.929,--,12.15,11.32,--,--,11.10975,9.74,9.415,9.33
362,LS III +53   40,B,22 08 13.1548,+53 17 34.795,11.88,12.34,12.16,--,--,12.115062,11.763,11.76,11.781
363,BD+50    32,M,00 14 10.1149,+51 33 34.137,--,12.03,10.5,--,--,9.669683,7.042,6.196,5.893
364,BD-22  1830,F,07 21 27.4243,-22 21 35.506,--,9.86,9.41,--,--,9.376523,8.68,8.498,8.466
365,V* IK Dra,M,19 56 08.8588,+76 27 00.640,--,9.95,8.15,--,--,7.20551,4.758,3.731,3.436
366,TYC 4601-1932-1,F,22 41 00.7616,+76 26 22.696,--,11.59,10.98,--,--,11.090783,10.368,10.251,10.161
367,GSC 04047-02261,B,02 41 59.7432,+60 15 28.617,--,--,12.8,--,--,12.666851,11.318,11.146,11.024
368,ADS 15951 P,A,22 26 57.6176,+49 42 43.870,--,8.2,14.4,--,--,13.802786,11.853,11.179,11.021
369,BD-22  1050,M,05 13 59.1734,-21 58 24.798,13.001,11.68,10.48,9.61,8.923,9.876864,7.967,7.347,7.18
370,HD 153237,K,16 55 11.3774,+55 05 51.727,--,9.81,8.73,--,--,8.426682,6.816,6.287,6.162
371,V* V1713 Oph,M,17 15 46.1408,-18 32 10.580,--,16.3,16.1,13.9,--,13.084418,9.817,8.82,8.509
372,CHSS  695,F,09 48 46.8511,+29 26 03.491,--,--,15.42,--,--,15.292576,14.442,14.105,14.132
373,TYC 3712-57-1,B,02 42 37.9308,+59 55 38.443,--,12.85,10.48,--,--,9.544341,6.738,5.879,5.598
374,HD 236495,A,00 40 36.3923,+58 26 19.559,--,10.38,10.02,--,--,9.918619,9.315,9.174,9.127
375,BD+82   690,K,22 24 08.3989,+83 43 39.111,--,11.88,10.13,--,--,9.47726,7.124,6.363,6.165
376,HD  59146,F,07 32 26.6738,+61 16 21.327,--,10.13,9.9,--,--,9.850194,9.364,9.245,9.222
377,HS 1707+4955,G,17 08 50.3,+49 51 50,--,--,--,--,--,--,--,--,--
378,HD 354006,M,19 51 09.3528,+15 04 47.201,--,12.09,10.7,10.08,--,9.834927,7.289,6.44,6.181
379,EM* AS  463,B,21 23 33.4569,+50 21 15.828,--,11.93,11.27,--,--,11.13854,9.323,9.104,8.841
380,HD  39449,F,05 55 22.5927,+50 02 37.693,--,9.97,9.54,--,--,9.463777,8.718,8.552,8.54
381,TYC 4540-316-1,K,08 40 14.9384,+76 01 05.497,--,11.96,10.84,--,--,10.667111,9.113,8.554,8.452
382,HD  15592,A,02 34 38.8251,+71 32 19.932,--,9.13,9.07,--,--,9.043871,8.875,8.861,8.857
383,SBSS 0950+575,G,09 54 16.4234,+57 19 39.704,--,17.0,--,--,--,15.86974,14.882,14.649,14.562
384,HD 217113,A,22 57 27.7177,+54 03 33.784,--,9.2,9.16,--,--,9.11969,8.942,8.986,9.025
385,Cl Trumpler   37   670,G,21 28 17.9359,+58 00 58.120,--,12.77,11.75,--,--,12.126969,11.05,10.706,10.642
386,TYC  522-1535-1,M,20 36 36.5032,+06 07 14.237,--,12.01,11.25,10.95,--,10.876648,9.183,8.614,8.443
387,CHSS  525,F,08 45 45.1524,+29 28 19.085,--,--,13.1,--,--,12.987508,12.164,11.885,11.841
388,HD 274273,F,05 29 43.9095,-43 11 06.885,--,12.39,11.83,--,--,12.026541,11.391,11.266,11.219
389,CHSS   13,F,10 35 18.5346,+29 24 14.827,--,--,12.69,--,--,12.485106,11.491,11.201,11.122
390,LS   I +59   31,B,00 08 34.1147,+60 07 11.262,12.65,12.88,12.31,12.22,--,12.148781,11.056,10.864,10.796
391,HD 287587,K,05 11 51.1819,+01 25 10.949,--,12.09,11.25,--,--,11.261187,10.102,9.738,9.61
392,HS 1317+4521A,K,13 20 00.6,+45 06 31,--,17.3,--,--,--,--,--,--,--
393,HS 1338+4708,F,13 41 02.6168,+46 53 34.383,--,--,--,--,--,17.142845,16.219,15.916,--
394,V* V2098 Cyg,M,19 58 10.5522,+42 31 39.168,--,9.94,8.46,--,--,6.883569,3.865,2.898,2.506
395,BD+82   352,G,11 58 17.2072,+81 43 58.506,--,11.29,10.72,--,--,10.787271,9.914,9.684,9.611
396,CHSS  613,F,09 21 27.4010,+29 36 40.383,--,--,15.86,--,--,15.749548,14.81,14.624,14.401
397,IRAS 17268+3655,M,17 28 33.0173,+36 52 53.800,--,--,11.5,--,--,10.539612,6.979,6.062,5.759
398,CHSS   42,F,10 42 54.3038,+29 07 53.387,--,--,14.36,--,--,14.229354,13.33,13.061,13.014
399,2MASS J18561969-2939276,M,18 56 19.6962,-29 39 27.705,--,17.23,--,14.54,--,14.723597,11.957,10.993,10.779
400,CHSS   30,F,10 38 19.6949,+29 02 37.439,--,--,13.85,--,--,13.72553,12.845,12.608,12.547
401,HD 101685,A,11 42 42.2703,+71 22 39.484,--,9.79,9.86,--,--,9.895209,10.176,10.277,10.303
402,IRAS 17197-3752,O,17 23 12.0364,-37 55 47.780,--,--,--,--,--,--,14.984,11.208,--
403,CHSS   57,F,10 49 18.7463,+29 40 11.229,--,--,14.17,--,--,14.068227,13.371,13.17,13.104
404,BD+82    33,K,01 24 27.4046,+82 49 31.471,--,11.36,10.0,--,--,9.502638,7.365,6.644,6.427
405,Cl* Melotte   20     DH     100,M,03 20 31.7408,+49 39 59.700,--,--,--,--,--,16.934515,13.794,13.208,12.901
406,IRAS 17021-3054,O,17 05 23.8386,-30 58 12.972,--,--,--,--,--,19.044617,14.608,12.91,11.532
407,LS   V +59    7,B,02 21 39.9422,+59 38 21.798,--,12.21,11.83,11.87,--,11.75669,10.916,10.857,10.819
408,BPS CS 22177-0033,A,04 21 36.1998,-24 47 26.472,--,--,14.1,--,--,14.102062,13.474,13.306,13.32
409,HD  49118,G,06 49 06.2783,+46 10 35.697,--,10.67,10.05,--,--,10.056972,9.059,8.83,8.781
410,HD  13293,A,02 11 10.7457,+46 12 46.023,--,9.35,9.19,--,--,9.206617,8.774,8.774,8.711
411,LS   V +54   15,B,05 10 26.1626,+54 31 24.976,--,10.85,10.53,--,--,10.343959,9.484,9.417,9.368
412,BD+57  2472,B,22 10 20.1417,+58 08 26.343,11.17,10.8,9.7,--,--,9.005073,6.592,6.2,5.965
413,HD 239839,M,22 03 24.1452,+57 33 26.578,--,11.3,9.39,--,--,8.031132,4.941,3.911,3.606
414,HD  33582,F,05 12 46.0540,+33 02 58.416,--,9.67,9.32,--,--,9.274847,8.699,8.531,8.528
415,[D75b] Star 35,M,05 32 44.1769,+29 02 51.682,--,16.8,--,--,--,11.360688,7.204,6.029,5.542
416,HD 284192,A,04 11 41.4254,+22 24 40.662,--,12.07,11.23,--,--,11.391005,10.316,10.171,10.074
417,LINEAR 5680961,F,08 56 01.9149,+29 25 49.762,--,--,14.28,--,--,14.268811,13.714,13.47,13.346
418,CHSS  546,F,08 55 41.1069,+29 42 47.148,--,--,14.45,--,--,14.332953,13.438,13.148,13.129
419,IRAS 21039+6004,M,21 05 07.2563,+60 16 20.176,--,12.28,10.38,--,--,8.71519,5.31,4.464,4.151
420,IRAS 17079-3621,O,17 11 19.1193,-36 25 16.608,--,--,--,--,--,--,--,13.234,--
421,BD+38  4234,F,20 47 24.0825,+38 48 36.228,--,9.8,9.37,--,--,9.258774,8.405,8.202,8.152
422,BD+49  1296A,K,05 05 09.8149,+50 01 34.384,--,11.61,10.47,--,--,10.059017,8.222,7.592,7.533
423,SBSS 1001+559,G,10 04 48.7305,+55 43 59.395,--,17.0,--,--,--,16.277359,15.211,14.961,14.814
424,HD 279605,G,04 14 51.4492,+35 32 59.139,--,10.0,--,--,--,11.454664,10.351,10.125,10.048
425,LS III +49   44,B,22 22 11.7177,+50 11 49.627,--,12.58,11.76,--,--,11.814446,10.63,10.339,10.267
426,HD 277322,A,05 03 53.6814,+43 09 47.014,--,11.29,11.07,--,--,11.037708,10.465,10.362,10.319
427,HD 223036,B,23 45 55.0592,+54 44 07.441,7.79,8.51,8.5,--,--,8.276579,7.791,7.651,7.434
428,HD 246506,F,05 42 57.9367,+32 29 05.612,--,11.71,11.49,--,--,11.028316,9.938,9.809,9.694
429,HD  76049,F,08 57 47.4008,+67 17 46.039,--,9.48,9.12,--,--,9.05548,8.394,8.22,8.173
430,BPS CS 22952-0017,F,23 41 26.6829,-05 32 30.172,15.03,14.9,14.63,--,--,14.702073,13.956,13.729,13.613
431,LP  405-58,M,00 44 48.2388,+18 30 40.527,--,15.0,--,13.3,--,13.417707,11.03,10.456,10.222
432,[NF99] 13,K,22 55 27.0,+62 43 32,--,--,15.3,--,--,--,--,--,--
433,HD  26227,G,04 11 25.9557,+50 00 58.059,--,9.65,9.04,--,--,8.921242,7.93,7.681,7.609
434,BD+43   637,K,03 09 05.0277,+44 14 54.726,--,11.13,9.7,--,--,9.200025,7.168,6.529,6.323
435,HD 228730,B,20 16 48.9530,+40 47 04.491,--,11.1,10.55,--,--,10.406246,9.111,8.92,8.838
436,V* V998 Aql,M,19 37 04.6896,+13 41 12.813,--,--,--,--,--,14.113429,8.88,7.9,7.253
437,IRAS 16515-3716,O,16 54 56.0202,-37 21 38.175,--,--,--,--,--,14.642225,8.947,7.718,6.906
438,HD 152424,O,16 55 03.3294,-42 05 26.990,6.11,6.69,6.27,7.49,--,6.146645,5.324,5.22,5.059
439,HD 279472,G,04 09 23.9438,+34 07 32.487,--,11.45,11.14,--,--,10.750116,9.557,9.207,9.153
440,HD 284420,G,04 25 55.6983,+24 01 02.341,--,12.18,11.24,--,--,11.273948,9.826,9.497,9.411
441,HD 290942,K,05 55 58.6807,+00 46 02.484,--,10.55,10.21,--,--,10.104386,9.453,9.304,9.227
442,LBQS 0005+0202,F,00 08 03.7950,+02 18 42.525,--,17.5,--,17.0,--,17.216156,16.21,16.11,15.83
443,HD  79565,F,09 15 15.2236,+11 12 54.192,--,9.7,9.32,--,--,9.322933,8.787,8.573,8.508
444,LS   I +61  127,B,00 12 11.0676,+61 23 22.922,12.73,13.09,12.57,--,--,12.425925,11.438,11.292,11.229
445,HD 152206,F,16 49 03.1294,+54 01 46.908,--,8.87,8.55,--,--,8.477314,7.868,7.757,7.727
446,[MK97] 15,M,20 56 11.4835,+54 19 59.662,--,--,--,13.35,--,12.291829,8.69,7.66,7.257
447,IRAS 17104-3925,O,17 13 54.0743,-39 28 22.848,--,--,--,--,--,14.744263,7.975,6.446,5.675
448,IRAS 17124-3526,O,17 15 44.5544,-35 30 02.644,--,--,--,--,--,15.505545,8.543,6.745,5.713
449,Elia 2-17,M,16 26 11.5537,-23 18 39.743,--,14.471,12.208,--,9.281,10.610714,6.985,5.792,5.407
450,SBSS 1154+561,G,11 57 29.0981,+55 55 09.266,--,16.5,--,--,--,16.538319,15.176,14.846,14.937
451,TYC 1949-194-1,F,08 47 28.6610,+28 32 15.466,--,11.73,11.18,11.05,--,11.436,10.1,9.857,9.795
452,CHSS   59,F,10 49 46.2,+29 25 07,--,--,13.82,--,--,--,--,--,--
453,BD+45  4361,G,23 55.6,+46 45,--,11.5,--,--,--,--,--,--,--
454,BD+64  1499,K,21 05 03.5046,+65 30 21.471,--,11.39,10.68,--,--,10.664388,9.678,9.38,9.348
455,LS   I +60   27,B,23 45 44.8008,+60 23 05.688,12.66,12.92,12.14,--,--,11.945821,10.465,10.261,10.159
456,BD+67   865,G,15 03 36.9404,+66 29 37.487,--,11.4,11.03,--,--,10.683095,9.778,9.482,9.413
457,BD+70   166,K,02 13 11.2637,+71 17 06.886,--,11.18,9.77,--,--,9.13073,6.747,6.119,5.854
458,HD 281260,G,03 47 19.2779,+29 31 22.765,--,11.93,11.08,--,--,11.150744,9.915,9.638,9.546
459,HD 205223,A,21 32 49.6516,+39 04 20.012,--,8.99,8.81,--,--,9.144018,8.408,8.382,8.356
460,LS   I +57   94,B,02 47 51.0642,+57 41 33.553,12.36,12.49,11.66,--,--,11.603075,10.377,10.263,10.155
461,BD+56   636,B,02 30 04.0120,+57 15 32.827,--,10.92,10.51,--,--,10.500541,9.8,9.76,9.706
462,HD 279664,G,04 16 37.3458,+36 48 33.398,--,11.55,11.26,--,--,11.215701,10.086,9.855,9.75
