C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:14

sptype='B'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
563 |LS I +62 91                        |*  |00 23 24.8881955904 +63 01 49.063817784|11.09    |11.3     |11.0     |     ~   |     ~   |B              |  10|   0
564 |BD+62 66                           |*  |00 23 20.3145359784 +62 52 51.469655988|     ~   |10.60    |10.50    |     ~   |     ~   |B              |   2|   0
565 |EM* GGR 188                        |Em*|00 31 56.0332392600 +63 21 15.718707396|     ~   |12.18    |11.84    |11.83    |     ~   |B              |   4|   0
566 |[DP65] 21                          |Em*|00 35 26.1547264344 +62 15 16.178526468|     ~   |13.39    |12.78    |12.59    |     ~   |B              |   2|   0
567 |EM* GGR 198                        |Em*|00 40 25.7491952760 +62 13 04.580853384|     ~   |     ~   |12.5     |     ~   |     ~   |B              |   3|   0
568 |EM* GGR 200                        |Em*|00 42 22.6096954488 +62 38 21.056319888|     ~   |13.52    |12.70    |12.46    |     ~   |B              |   4|   0
569 |EM* AS 6                           |Em*|00 46 25.2173373864 +61 39 11.040147072|11.59    |11.6     |11.2     |     ~   |     ~   |B              |  10|   0
570 |LS I +61 171                       |*  |00 48 49.4497450368 +61 36 52.119696636|     ~   |12.10    |11.40    |     ~   |     ~   |B              |   6|   0
571 |LS I +63 108                       |*  |00 51 02.6981319216 +63 38 58.330388580|     ~   |     ~   |     ~   |     ~   |     ~   |B              |   4|   0
572 |LS I +63 119                       |*  |00 59 56.6414129280 +63 16 20.107895016|     ~   |12.62    |12.07    |12.06    |     ~   |B              |   5|   0
573 |LS I +63 128                       |*  |01 02 08.5532614872 +63 23 43.819108656|     ~   |11.81    |11.11    |     ~   |     ~   |B              |   7|   0
574 |Hilt 97                            |*  |01 04 19.1532132744 +63 46 16.934483460|10.42    |10.56    |10.01    |     ~   |     ~   |B              |   8|   0
575 |V* V1064 Cas                       |EB*|01 07 59.9028627816 +63 37 42.543718356|     ~   |11.96    |11.41    |     ~   |     ~   |B              |   8|   0
576 |LS I +62 142                       |*  |00 51 14.9935869816 +63 09 06.678945324|     ~   |13.6     |     ~   |     ~   |     ~   |B              |   5|   0
577 |EM* GGA 4                          |Em*|00 51 59.6127593856 +62 41 44.228657616|     ~   |12.46    |12.17    |     ~   |     ~   |B              |   8|   0
578 |LS I +61 168                       |Em*|00 47 06.5608197792 +62 01 57.688808628|12.05    |12.35    |11.84    |     ~   |     ~   |B              |  10|   0
579 |LS I +61 169                       |*  |00 48 09.7553378400 +62 08 33.910872828|     ~   |12.11    |11.57    |     ~   |     ~   |B              |   6|   0
580 |LS I +61 172                       |*  |00 49 07.9672409904 +61 50 50.955397152|     ~   |12.72    |11.92    |11.74    |     ~   |B              |   5|   0
581 |LS I +61 174                       |*  |00 55 39.1356512328 +61 30 58.639286844|     ~   |12.40    |11.98    |     ~   |     ~   |B              |   6|   0
582 |LS I +63 104                       |*  |00 47 24.1935519384 +63 24 20.898584676|     ~   |12.37    |11.75    |     ~   |     ~   |B              |   5|   0
583 |LS I +61 165                       |*  |00 44 00.2297123496 +62 05 33.952854840|11.26    |11.57    |10.90    |     ~   |     ~   |B              |   6|   0
584 |EM* GGA 3                          |Em*|00 51 55.1633307864 +62 55 07.028358384|     ~   |     ~   |13.4     |     ~   |     ~   |B              |   3|   0
585 |EM* GGA 6                          |Em*|00 53 30.8216585760 +63 32 23.500598532|     ~   |12.47    |11.99    |11.96    |     ~   |B              |   3|   0
586 |LS I +62 164                       |*  |01 30 05.2456 +62 49 10.769            |     ~   |12.32    |11.97    |     ~   |     ~   |B              |   4|   0
587 |LS I +63 137                       |*  |01 09 18.1120945200 +63 28 40.480252932|     ~   |12.21    |11.40    |     ~   |     ~   |B              |   6|   0
588 |LS I +61 181                       |*  |01 06 11.1192342168 +62 10 56.496466956|     ~   |13.32    |12.39    |12.19    |     ~   |B              |   9|   0
589 |EM* GGA 21                         |Em*|01 12 58.7216454648 +62 44 35.105140644|     ~   |12.42    |11.72    |11.95    |     ~   |B              |   4|   0
590 |EM* GGA 37                         |Em*|01 24 45.1499348856 +61 49 14.902190112|     ~   |     ~   |12.38    |12.06    |     ~   |B              |   3|   0
591 |EM* AS 32                          |** |01 37 47.1742614120 +62 04 50.084350464|     ~   |     ~   |11.079   |10.943   |     ~   |B              |  12|   0
592 |LS I +60 186                       |*  |01 46 42.4551293280 +60 51 59.455747656|     ~   |12.04    |11.93    |     ~   |     ~   |B              |   7|   0
593 |EM* MWC 691                        |** |01 31 04.6494862368 +62 23 04.835073120|     ~   |     ~   |10.893   |10.439   |     ~   |B              |  10|   0
594 |EM* GGA 90                         |Be*|01 45 18.3562558224 +60 58 09.064704072|11.59    |11.78    |11.24    |11.42    |     ~   |B              |  11|   1
595 |EM* GGA 38                         |Em*|01 25 08.8558524720 +61 08 08.079009612|     ~   |12.10    |11.77    |11.511   |     ~   |B              |   5|   0
596 |EM* GGA 40                         |Em*|01 25 50.8927906440 +61 12 44.033533236|     ~   |13.29    |12.47    |12.22    |     ~   |B              |   5|   0
597 |EM* GGA 47                         |Em*|01 29 07.6303194768 +60 59 46.254991452|     ~   |12.87    |12.57    |12.55    |     ~   |B              |   3|   0
598 |EM* GGA 69                         |Em*|01 38 09.1957185960 +62 28 26.399599248|     ~   |12.09    |12.13    |     ~   |     ~   |B              |   4|   0
599 |EM* GGA 76                         |Em*|01 40 33.9711619560 +61 09 42.784768620|     ~   |     ~   |12.67    |12.62    |     ~   |B              |   3|   0
600 |EM* MWC 430                        |Em*|01 55 40.7513493576 +61 07 16.498621812|     ~   |11.63    |11.26    |     ~   |     ~   |B              |  13|   0
601 |LS I +60 218                       |*  |02 06 43.3520434152 +60 17 45.510273816|     ~   |11.23    |10.34    |     ~   |     ~   |B              |   7|   0
602 |LS I +59 109                       |*  |02 04 58.4862914376 +59 44 55.068744336|     ~   |11.94    |11.33    |     ~   |     ~   |B              |   7|   0
603 |IRAS 01571+6018                    |Em*|02 00 39.4650524928 +60 32 59.134296048|     ~   |     ~   |15.508   |15.206   |     ~   |B              |   7|   0
604 |IRAS 01579+6018                    |*  |02 01 30.7 +60 32 50                   |     ~   |     ~   |     ~   |     ~   |     ~   |B              |   3|   0
605 |EM* GGA 100                        |Em*|01 46 36.1618456896 +59 32 36.741425028|     ~   |11.9     |11.2     |     ~   |     ~   |B              |  13|   0
606 |EM* GGA 130                        |Em*|01 56 38.1831770736 +59 21 04.003678692|     ~   |11.49    |11.31    |11.38    |     ~   |B              |   5|   0
607 |EM* VES 668                        |Em*|02 02 31.2062128584 +61 00 12.772652364|     ~   |12.28    |11.57    |     ~   |     ~   |B              |  11|   0
608 |EM* GGA 96                         |Em*|01 46 00.7776262440 +59 14 04.808461272|     ~   |     ~   |14.13    |13.57    |     ~   |B              |   3|   0
609 |EM* GGA 112                        |Em*|01 49 08.6871541392 +59 48 32.686090344|     ~   |     ~   |12.38    |12.19    |     ~   |B              |   1|   0
610 |LS V +57 1                         |*  |02 15 10.6276051560 +57 43 45.899081580|     ~   |12.05    |11.52    |     ~   |     ~   |B              |   7|   0
611 |LS I +59 116                       |bC?|02 15 24.5316864048 +60 08 21.383722464|     ~   |11.26    |10.51    |10.44    |     ~   |B              |   9|   1
612 |EM* MWC 440                        |Em*|02 16 38.6209972176 +59 47 20.121996696|     ~   |11.57    |10.93    |     ~   |     ~   |B              |  11|   0
613 |BD+58 432                          |*  |02 17 33.6733550520 +59 31 19.914140244|     ~   |11.18    |10.68    |     ~   |     ~   |B              |   6|   0
614 |LS V +58 4                         |*  |02 18 16.8846326112 +58 25 53.957875044|     ~   |11.49    |11.03    |     ~   |     ~   |B              |   7|   0
615 |LS V +59 3                         |*  |02 18 54.0079464744 +59 35 53.641096728|     ~   |11.90    |11.06    |     ~   |     ~   |B              |   6|   0
616 |LS V +59 7                         |*  |02 21 39.9422189640 +59 38 21.798533472|     ~   |12.21    |11.83    |11.87    |     ~   |B              |   4|   0
617 |LS I +59 132                       |*  |02 24 30.5999866272 +59 29 41.160499620|     ~   |11.50    |10.97    |     ~   |     ~   |B              |   8|   0
618 |LS V +58 7                         |*  |02 19 53.7212764008 +58 53 20.351485032|     ~   |11.14    |10.69    |     ~   |     ~   |B              |   7|   0
619 |LS V +57 7                         |*  |02 18 25.7939597256 +57 48 05.014162368|     ~   |11.25    |10.76    |     ~   |     ~   |B              |   6|   0
620 |BD+57 500                          |*  |02 09 29.4959483160 +58 27 30.975875712|     ~   |10.54    |10.33    |     ~   |     ~   |B              |   3|   0
621 |GSC 03698-01711                    |*  |02 24 18.6427456776 +59 39 24.702016860|     ~   |     ~   |12.2     |     ~   |     ~   |B              |   2|   0
622 |TYC 3698-2665-1                    |*  |02 26 21.9831437280 +59 20 51.316791000|     ~   |12.57    |12.84    |     ~   |     ~   |B              |   3|   0
623 |EM* GGA 157                        |Em*|02 20 20.3440393752 +58 19 32.504987352|     ~   |12.45    |11.97    |     ~   |     ~   |B              |   7|   0
624 |BD+56 488                          |bC*|02 18 13.5196518768 +57 21 30.875205024|     ~   |10.42    |10.10    |     ~   |     ~   |B              |  14|   0
625 |HD 14443                           |V* |02 22 00.5764087032 +57 08 41.872012908|7.85     |8.39     |7.6934   |7.70     |7.2734   |BC2Ib          | 106|   0
626 |LS V +56 41                        |*  |02 24 01.9389436896 +56 49 22.909967544|     ~   |11.32    |11.18    |     ~   |     ~   |B              |  11|   0
627 |LS V +58 12                        |*  |02 34 25.2240186960 +58 32 23.704254168|     ~   |12.72    |11.82    |     ~   |     ~   |B              |   7|   0
628 |LS V +57 30                        |*  |02 24 55.9264919664 +57 31 09.037795836|     ~   |11.63    |11.20    |     ~   |     ~   |B              |   7|   0
629 |EM* VES 744                        |Em*|02 25 20.5749928752 +57 54 31.523830380|11.32    |11.74    |11.12    |     ~   |     ~   |B              |  13|   0
630 |EM* GGA 176                        |Em*|02 30 07.0975122024 +57 32 14.362684008|     ~   |12.08    |11.61    |11.75    |     ~   |B              |  10|   0
631 |LS V +57 45                        |*  |02 32 59.1572205264 +57 28 34.788843840|     ~   |11.78    |11.26    |     ~   |     ~   |B              |   7|   0
632 |LS V +57 47                        |*  |02 33 24.1213901832 +57 55 04.139269788|     ~   |11.14    |10.49    |     ~   |     ~   |B              |   7|   0
633 |LS V +57 51                        |*  |02 33 40.7449026360 +57 26 10.153078332|     ~   |11.65    |11.22    |     ~   |     ~   |B              |   9|   0
634 |LS V +57 54                        |*  |02 42 37.5402 +57 49 57.903            |     ~   |11.93    |11.68    |     ~   |     ~   |B              |   5|   0
635 |EM* MWC 449                        |Em*|02 24 44.3270630256 +57 21 12.451106664|10.77    |11.2     |10.7     |     ~   |     ~   |B              |  17|   0
636 |LS V +56 47                        |*  |02 27 53.6957402568 +57 06 31.453194024|     ~   |12.38    |11.97    |11.89    |     ~   |B              |   4|   0
637 |LS V +56 48                        |*  |02 29 12.5168626032 +56 59 45.484138140|     ~   |11.73    |11.58    |     ~   |     ~   |B              |   7|   0
638 |BD+56 636                          |*  |02 30 04.0120517568 +57 15 32.827276188|     ~   |10.92    |10.51    |     ~   |     ~   |B              |   6|   0
639 |LS I +56 58                        |Pu*|02 35 42.8328502584 +56 44 21.087877164|     ~   |11.41    |11.07    |     ~   |     ~   |B              |   7|   0
640 |EM* VES 748                        |Em*|02 30 05.9447149632 +57 18 33.875279712|12.19    |12.58    |12.00    |     ~   |     ~   |B              |  11|   0
641 |BD+57 563                          |Pu*|02 24 59.4322143264 +57 43 44.974074252|     ~   |10.28    |10.04    |     ~   |     ~   |B              |   5|   0
642 |LS V +57 5                         |*  |02 17 19.0496839608 +57 26 52.892188404|     ~   |11.70    |11.31    |     ~   |     ~   |B              |   9|   0
643 |GSC 03699-00274                    |*  |02 27 44.8219051800 +58 51 47.460947040|     ~   |     ~   |11.9     |     ~   |     ~   |B              |   1|   0
644 |EM* GGA 164                        |Em*|02 23 25.5321161640 +58 30 02.908712736|     ~   |13.25    |12.63    |12.49    |     ~   |B              |   4|   0
645 |EM* GGA 167                        |Em*|02 24 31.8004490856 +58 09 32.046350940|     ~   |12.90    |12.54    |     ~   |     ~   |B              |   6|   0
646 |EM* GGA 170                        |Em*|02 26 50.5434478776 +57 20 20.142098088|     ~   |11.90    |11.95    |     ~   |     ~   |B              |   6|   0
647 |EM* GGA 178                        |Em*|02 30 58.6975443672 +57 15 03.961994328|     ~   |13.97    |13.51    |13.50    |     ~   |B              |   5|   0
648 |EM* GGA 179                        |Em*|02 33 16.7382264264 +58 18 50.550704064|     ~   |12.71    |12.16    |12.14    |     ~   |B              |   4|   0
649 |EM* GGA 191                        |Em*|02 41 25.0209402336 +57 35 47.438931804|     ~   |12.55    |12.01    |11.93    |     ~   |B              |   3|   0
650 |LS V +56 34                        |*  |02 21 34.1244773904 +56 54 47.442639924|     ~   |10.89    |10.6961  |     ~   |10.3780  |B              |  18|   0
651 |LS V +56 33                        |*  |02 21 21.4831380912 +56 53 54.761786268|     ~   |10.86    |10.7940  |     ~   |10.5252  |B              |  14|   0
652 |LS V +54 4                         |*  |02 42 36.6523115112 +55 02 20.006168712|     ~   |12.22    |12.03    |     ~   |     ~   |B              |   6|   0
653 |LS V +54 5                         |*  |02 45 47.7130456152 +54 32 41.068044888|     ~   |11.28    |10.88    |     ~   |     ~   |B              |   8|   0
654 |LS I +56 69                        |*  |02 48 45.8508362448 +56 27 57.354478632|12.81    |13.05    |12.43    |     ~   |     ~   |B              |   5|   0
655 |BD+56 722                          |*  |02 50 18.7581548472 +57 04 39.664856460|11.16    |11.3     |10.8     |     ~   |     ~   |B              |   8|   0
656 |LS I +56 76                        |*  |02 52 09.4696999752 +56 46 48.659335752|13.08    |13.24    |12.55    |12.35    |     ~   |B              |   5|   0
657 |V* ZZ Per                          |V* |02 51 52.0367896992 +56 54 53.985581856|11.79    |12.27    |11.54    |     ~   |     ~   |B              |   8|   0
658 |LS I +55 41                        |*  |02 50 46.3765094856 +55 37 44.895090324|11.49    |11.78    |11.11    |     ~   |     ~   |B              |   6|   0
659 |EM* GGA 209                        |Em*|02 52 15.9568272960 +55 42 34.184658240|     ~   |13.36    |12.53    |12.42    |     ~   |B_             |   4|   0
660 |BD+56 713                          |*  |02 47 14.8643756736 +57 15 26.617144248|     ~   |10.72    |10.51    |     ~   |     ~   |B              |   3|   0
661 |EM* GGA 220                        |Em*|02 59 52.1353023216 +54 15 13.969007244|     ~   |12.70    |11.87    |     ~   |     ~   |B_             |   5|   0
662 |BD+52 660                          |*  |03 08 25.3365551352 +52 38 50.728391736|     ~   |10.90    |10.44    |     ~   |     ~   |B              |   7|   0
663 |BD+52 669                          |*  |03 13 47.7288873768 +53 23 05.527151628|13.289   |10.79    |10.02    |     ~   |     ~   |B              |   7|   0
664 |BD+47 856                          |*  |03 36 19.0764007896 +48 22 37.306435764|     ~   |9.35     |9.09     |     ~   |     ~   |B              |   7|   0
665 |LS V +49 6                         |*  |03 33 11.2016829120 +49 20 21.603377256|     ~   |12.07    |12.31    |     ~   |     ~   |B              |   5|   0
666 |LS V +48 6                         |*  |03 39 32.8165508472 +48 48 58.210045344|     ~   |11.31    |11.13    |     ~   |     ~   |B              |   7|   0
667 |LS V +45 4                         |*  |03 47 25.2371260824 +46 03 46.211927328|     ~   |11.99    |11.57    |     ~   |     ~   |B              |   5|   0
668 |LS V +46 1                         |*  |03 46 29.7098211936 +46 50 14.734598964|     ~   |11.54    |11.09    |     ~   |     ~   |B              |   5|   0
669 |BD+45 832                          |*  |03 52 54.8943723936 +46 05 22.586370108|     ~   |9.76     |9.60     |     ~   |     ~   |B              |   9|   0
670 |LS V +44 9                         |Pu*|04 06 39.0389271360 +45 05 33.892209564|     ~   |13.0     |     ~   |     ~   |     ~   |B              |   5|   0
671 |LS V +44 10                        |*  |04 07 24.0461315400 +44 16 44.056846740|     ~   |13.7     |     ~   |     ~   |     ~   |B              |   5|   0
672 |LP 155-337                         |PM*|03 51 36.4899744936 +45 51 48.007496016|     ~   |     ~   |     ~   |11.0     |     ~   |B              |   8|   0
673 |LS III +50 1                       |*  |20 15 56.2292329176 +50 49 12.403126704|     ~   |12.2     |     ~   |     ~   |     ~   |B              |   6|   0
674 |BD+55 2443                         |*  |20 38 12.1604108304 +56 06 18.577864368|     ~   |10.86    |10.57    |     ~   |     ~   |B              |   9|   0
675 |LS III +57 3                       |*  |20 59 49.8038492640 +58 00 56.741607216|     ~   |11.25    |10.55    |     ~   |     ~   |B              |   8|   0
676 |LS III +57 1                       |Em*|20 51 08.0631683832 +57 24 24.343955388|     ~   |11.83    |11.59    |     ~   |     ~   |B              |   7|   0
677 |LS III +56 3                       |*  |20 53 11.1093179688 +57 05 50.124606072|     ~   |10.68    |10.12    |     ~   |     ~   |B              |   5|   0
678 |BD+58 2236                         |V* |21 12 09.6244459824 +58 53 36.817193076|     ~   |9.40     |9.21     |     ~   |     ~   |B              |  20|   0
679 |BD+58 2265                         |Pu*|21 26 41.4604331640 +59 06 14.399796780|9.88     |10.22    |9.81     |     ~   |     ~   |B              |  14|   0
680 |LS III +61 3                       |*  |21 44 49.5719316816 +61 16 39.612165744|     ~   |12.4     |     ~   |     ~   |     ~   |B              |   4|   0
681 |EM* GGR 34                         |Em*|21 38 05.9439621216 +61 06 51.404849928|     ~   |11.52    |11.15    |     ~   |     ~   |B              |   4|   0
682 |BD+60 2322                         |SB*|21 58 05.8082360112 +61 36 32.013375372|9.39     |10.65    |10.31    |     ~   |     ~   |B              |   6|   0
683 |LS III +63 7                       |*  |22 25 42.8492176562 +63 27 53.842991601|     ~   |11.45    |10.59    |     ~   |     ~   |B              |   5|   0
684 |GSC 04268-00151                    |** |22 19 11.5428572952 +63 15 18.834211080|     ~   |11.372   |10.906   |10.914   |     ~   |B              |   8|   0
685 |BD+63 1884                         |*  |22 45 11.5152713688 +64 44 43.392592860|     ~   |11.04    |10.46    |     ~   |     ~   |B              |   5|   0
686 |LS III +63 10                      |*  |22 40 16.1205665160 +64 07 02.975271924|     ~   |11.44    |10.92    |     ~   |     ~   |B              |   5|   0
687 |LS III +63 11                      |*  |22 41 29.7372060960 +64 09 52.669354824|     ~   |11.96    |11.60    |     ~   |     ~   |B              |   5|   0
688 |LS III +63 12                      |*  |22 47 35.5288860888 +64 00 20.169844056|     ~   |11.76    |11.19    |     ~   |     ~   |B              |   6|   0
689 |LS III +66 9                       |Em*|22 59 48.2251717392 +66 26 40.307999064|     ~   |12.03    |11.73    |     ~   |     ~   |B              |   7|   0
690 |EM* GGR 106                        |Em*|22 48 31.9794984888 +65 23 36.585556980|     ~   |11.25    |10.74    |     ~   |     ~   |B              |   8|   0
691 |LS III +64 10                      |*  |22 54 27.2685730296 +64 17 23.642773116|     ~   |11.47    |10.97    |     ~   |     ~   |B              |   5|   0
692 |BD+63 1937                         |Em*|23 09 10.5905762736 +64 34 38.119659456|     ~   |11.78    |11.26    |     ~   |     ~   |B              |   8|   0
693 |LS I +64 1                         |*  |23 28 06.4320279192 +64 28 38.745687108|     ~   |12.86    |12.16    |12.03    |     ~   |B              |   5|   0
694 |LS III +64 15                      |*  |23 13 06.3947220744 +64 17 22.547737896|     ~   |12.25    |11.79    |     ~   |     ~   |B              |   6|   0
695 |LS III +64 14                      |*  |23 11 59.8607445432 +64 59 42.349359408|     ~   |11.13    |10.82    |     ~   |     ~   |B              |   5|   0
696 |LS I +64 6                         |Pu*|23 58 34.0356504792 +64 43 46.977286728|     ~   |11.20    |10.77    |     ~   |     ~   |B              |   6|   0
697 |IRAS 23545+6508                    |*  |23 57 05.2 +65 25 11                   |     ~   |     ~   |     ~   |     ~   |     ~   |B              |  50|   0
698 |BD+64 17                           |*  |00 16 09.9186117504 +64 58 34.888299456|     ~   |11.01    |10.50    |     ~   |     ~   |B              |   2|   0
699 |LS I +64 40                        |*  |00 45 17.8620319848 +64 24 03.070008288|     ~   |11.986   |11.503   |11.55    |     ~   |B              |  11|   0
700 |LS I +65 4                         |*  |00 46 18.4514081304 +65 19 02.846660988|     ~   |11.23    |10.67    |     ~   |     ~   |B              |   6|   0
701 |EM* AS 7                           |Em*|00 46 56.4470213880 +65 20 23.748828324|     ~   |11.35    |10.87    |     ~   |     ~   |B              |   9|   0
702 |HD 2619                            |*  |00 30 28.3298416296 +65 16 19.764470208|8.44     |8.78     |8.33     |     ~   |     ~   |B              |  44|   0
703 |LS I +64 43                        |*  |00 46 15.2347027728 +65 06 23.791970916|     ~   |12.57    |11.86    |     ~   |     ~   |B              |   6|   0
704 |LS I +65 7                         |*  |00 49 43.0370359824 +65 30 28.954803348|     ~   |12.19    |11.96    |     ~   |     ~   |B              |   6|   0
705 |LS I +64 57                        |*  |00 58 44.0665490904 +64 17 19.155905664|     ~   |12.66    |12.09    |     ~   |     ~   |B              |   5|   0
706 |LS I +63 131                       |*  |01 05 35.1041934192 +63 53 28.764474144|     ~   |12.16    |11.34    |     ~   |     ~   |B              |   6|   0
707 |EM* AS 12                          |Em*|01 13 03.6275923728 +64 58 54.527218932|     ~   |12.36    |11.43    |11.21    |     ~   |B              |   9|   0
708 |LS I +64 48                        |HS?|00 49 12.2730600792 +64 19 44.768020044|     ~   |13.40    |13.38    |13.55    |     ~   |B              |   7|   0
709 |LS I +64 47                        |*  |00 49 11.2657849608 +65 07 31.423865952|     ~   |12.61    |12.04    |12.03    |     ~   |B              |   6|   0
710 |LS I +62 155                       |*  |01 22 20.7453405792 +63 15 15.225331104|     ~   |12.05    |11.34    |     ~   |     ~   |B              |   6|   0
711 |EM* GGR 209                        |Em*|01 19 28.4691138648 +64 55 34.623859872|     ~   |12.33    |11.79    |     ~   |     ~   |B              |   8|   0
712 |LS I +64 64                        |*  |01 21 40.3095427344 +64 51 55.512372168|     ~   |12.74    |12.19    |     ~   |     ~   |B              |   6|   0
713 |LS I +64 70                        |*  |01 33 13.7849000256 +65 08 32.906605452|     ~   |11.89    |11.54    |     ~   |     ~   |B              |   6|   0
714 |LS I +63 148                       |*  |01 28 49.5534472944 +63 50 58.006826844|     ~   |12.89    |11.95    |     ~   |     ~   |B              |   6|   0
715 |EM* GGA 31                         |Em*|01 19 10.4749262184 +64 21 30.700622628|     ~   |13.57    |12.94    |12.90    |     ~   |B              |   3|   0
716 |EM* GGA 43                         |Em*|01 27 02.2230487296 +63 02 23.473661640|     ~   |     ~   |12.70    |12.45    |     ~   |B              |   3|   0
717 |V* V1072 Cas                       |Be*|01 16 16.5869168328 +63 31 52.706915832|     ~   |12.26    |11.68    |     ~   |     ~   |B              |  10|   0
718 |LS I +62 177                       |*  |01 39 56.9954959080 +62 26 53.774518632|     ~   |12.97    |12.55    |     ~   |     ~   |B              |   5|   0
719 |EM* AS 33                          |Em*|01 38 05.8732962936 +63 51 42.631007724|     ~   |11.90    |11.29    |     ~   |     ~   |B              |  10|   0
720 |LS I +63 155                       |*  |01 39 24.1359825120 +64 04 49.551527604|     ~   |12.39    |11.82    |     ~   |     ~   |B              |   7|   0
721 |BD+63 226                          |bC*|01 43 07.1117383272 +64 04 09.939227520|     ~   |10.32    |10.07    |     ~   |     ~   |B              |  15|   0
722 |LS I +63 163                       |bC*|01 43 08.9265451008 +64 02 29.558988960|     ~   |11.04    |10.70    |10.725   |     ~   |B              |  16|   0
723 |LS I +63 167                       |*  |01 49 30.3176442480 +64 13 26.427046980|12.19    |12.67    |12.35    |     ~   |     ~   |B              |   7|   0
724 |LS I +63 176                       |*  |01 58 27.8870372136 +63 26 15.885406608|11.36    |11.62    |11.01    |     ~   |     ~   |B              |   7|   0
725 |BD+62 276                          |*  |01 36 17.7367668096 +63 23 55.212665676|     ~   |10.76    |9.44     |     ~   |     ~   |B              |   2|   0
726 |BD+62 294                          |** |01 42 23.9985649392 +63 15 26.050136760|     ~   |     ~   |10.093   |9.983    |     ~   |B              |  11|   0
727 |LS I +62 182                       |*  |01 44 31.9880761104 +63 09 51.567611472|     ~   |10.90    |10.42    |     ~   |     ~   |B              |   7|   0
728 |LS I +62 195                       |*  |01 57 09.4350974448 +63 04 01.101108720|10.77    |11.38    |11.06    |     ~   |     ~   |B              |   7|   0
729 |EM* GGA 72                         |Em*|01 38 40.8823163016 +63 07 05.719985724|     ~   |12.43    |12.53    |     ~   |     ~   |B              |   4|   0
730 |LS I +61 259                       |Em*|02 05 09.5330873256 +61 52 01.787440080|     ~   |12.08    |11.82    |     ~   |     ~   |B              |   9|   0
731 |LS I +61 261                       |*  |02 05 49.8465233736 +61 38 18.040978464|     ~   |     ~   |12.03    |11.90    |     ~   |B              |   5|   0
732 |LS I +63 178                       |*  |02 01 00.5012488704 +63 30 10.251623628|11.71    |11.8     |11.3     |     ~   |     ~   |B              |   6|   0
733 |GSC 04037-03179                    |Be*|02 02 03.1610357280 +63 02 13.453481652|     ~   |14.91    |13.89    |     ~   |     ~   |B              |   5|   0
734 |EM* VES 673                        |Em*|02 03 42.4459597656 +63 40 23.547482508|11.34    |11.8     |11.0     |     ~   |     ~   |B              |  10|   0
735 |EM* GGA 121                        |Em*|01 53 57.6749134008 +61 44 10.138946352|     ~   |12.04    |12.08    |     ~   |     ~   |B              |   5|   0
736 |EM* GGA 133                        |Em*|02 00 14.3333498208 +61 34 51.348190260|     ~   |12.32    |12.28    |     ~   |     ~   |B              |   6|   0
737 |EM* GGA 135                        |Em*|02 01 11.4123503088 +61 28 43.776093864|     ~   |     ~   |12.59    |12.38    |     ~   |B              |   3|   0
738 |GSC 04037-01813                    |Be*|02 15 32.9637609912 +62 32 36.875055912|13.52    |13.86    |13.07    |     ~   |     ~   |B              |   7|   0
739 |LS V +60 1                         |*  |02 17 00.3471569736 +60 15 18.380785284|     ~   |12.24    |11.68    |     ~   |     ~   |B              |   6|   0
740 |LS V +60 2                         |*  |02 17 26.1489782808 +60 19 50.832230268|     ~   |12.51    |12.41    |     ~   |     ~   |B              |   8|   0
741 |LS V +59 12                        |*  |02 29 17.8576122312 +59 43 44.217821316|     ~   |13.09    |11.74    |     ~   |     ~   |B              |   5|   0
742 |LS I +62 210                       |*  |02 24 40.2721143384 +62 15 54.359638956|     ~   |11.79    |11.08    |     ~   |     ~   |B              |   8|   0
743 |LS I +60 225                       |Em*|02 16 28.0998029640 +61 09 51.326222760|     ~   |11.64    |10.81    |     ~   |     ~   |B              |   8|   0
744 |EM* MWC 56                         |LP*|02 42 43.1537864664 +61 15 57.658766472|     ~   |12.01    |11.65    |     ~   |     ~   |B              |  19|   0
745 |LS I +60 233                       |*  |02 26 25.9378904232 +60 30 27.576599796|     ~   |12.16    |11.55    |     ~   |     ~   |B              |   8|   0
746 |BD+59 463                          |*  |02 19 38.8870405584 +60 38 43.272003804|     ~   |11.86    |11.44    |     ~   |     ~   |B              |   7|   0
747 |LS I +59 139                       |*  |02 33 14.1660159192 +60 01 21.933511464|     ~   |11.47    |10.91    |     ~   |     ~   |B              |   8|   0
748 |BD+60 486                          |*  |02 29 32.4729707832 +60 39 21.712095720|     ~   |10.25    |9.88     |     ~   |     ~   |B              |  17|   0
749 |EM* MWC 438                        |Em*|02 13 04.7251385424 +60 45 43.530795612|     ~   |12.79    |11.76    |     ~   |     ~   |B              |  11|   0
750 |TYC 4050-2871-1                    |*  |02 29 34.2289965600 +62 02 47.538535452|     ~   |13.05    |12.48    |     ~   |     ~   |B              |   3|   0
751 |IC 1795 158                        |*  |02 28 15.6139121760 +62 07 16.220864856|     ~   |     ~   |12.3     |     ~   |     ~   |B              |   2|   0
