C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
123 |IRAS 21051+5516                    |*  |21 06 36.9217190712 +55 28 17.083696368|     ~   |14.51    |12.21    |11.48    |     ~   |M              |   1|   0
124 |IRAS 21081+5456                    |LP?|21 09 39.0076394640 +55 08 25.852503840|     ~   |14.87    |12.49    |11.70    |     ~   |M              |   1|   0
125 |IRAS 21082+5450                    |LP?|21 09 45.1258684296 +55 03 07.177140216|     ~   |15.75    |13.22    |12.19    |     ~   |M              |   1|   0
126 |IRAS 21221+5730                    |*  |21 23 35.7945201888 +57 43 00.601893444|     ~   |15.17    |12.78    |12.01    |     ~   |M              |   1|   0
127 |IRAS 21382+5706                    |*  |21 39 46.4655126072 +57 20 26.773629648|     ~   |13.47    |11.43    |10.75    |     ~   |M              |   1|   0
128 |Cl* Trumpler 37 MVA 450            |LP?|21 38 51.2101878432 +57 27 34.656487524|     ~   |15.42    |13.87    |12.94    |     ~   |M              |   3|   0
129 |[MK97] 53                          |*  |21 24 08.2650729144 +57 31 50.061720144|     ~   |16.23    |13.95    |13.36    |     ~   |M              |   1|   0
130 |[MK97] 65                          |*  |21 34 20.1687383064 +57 05 01.983036444|     ~   |15.15    |12.89    |12.29    |     ~   |M              |   1|   0
131 |IRAS 21345+5706                    |SB*|21 36 05.7068662200 +57 20 05.423633988|     ~   |15.01    |12.68    |12.104   |     ~   |M              |   2|   0
132 |[MK97] 74                          |*  |21 36 40.6338339312 +57 01 38.164835820|     ~   |14.44    |12.21    |11.61    |     ~   |M              |   1|   0
133 |Cl* Trumpler 37 MVA 337            |*  |21 40 58.7507541576 +57 16 13.381575960|     ~   |14.94    |12.80    |12.16    |     ~   |M              |   2|   0
134 |BD+58 2303                         |*  |21 39 03.2665453080 +59 32 45.923791488|     ~   |11.4     |9.23     |     ~   |     ~   |M              |   3|   0
135 |V* V649 Cep                        |S* |22 09 47.5165000728 +61 09 36.334425924|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   4|   0
136 |USNO-A2.0 1500-09070020            |*  |22 26 28.3246495872 +61 45 55.259909784|     ~   |16.0     |     ~   |     ~   |     ~   |M              |   1|   0
137 |IRAS 23244+6322                    |LP?|23 26 43.1102375664 +63 39 24.983038332|     ~   |14.77    |12.43    |12.03    |     ~   |M              |   2|   0
138 |[MK97] 89                          |*  |23 27 58.9324290072 +63 55 50.136405996|     ~   |16.77    |14.19    |13.43    |     ~   |M              |   1|   0
139 |GSC 04017-00644                    |*  |00 51 54.2316322560 +61 28 40.252806408|     ~   |12.22    |11.28    |     ~   |     ~   |M              |   1|   0
140 |[D75b] Star 10                     |S* |02 19 16.7601285456 +59 42 21.598117956|     ~   |15.1     |     ~   |     ~   |     ~   |MS             |   9|   0
