C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:20

sptype='K'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
143 |USNO-A2.0 1500-09102700            |*  |22 29 29.3743378272 +61 04 52.327747812|     ~   |13.9     |     ~   |     ~   |     ~   |K              |   1|   0
144 |USNO-A2.0 1500-09118979            |*  |22 30 49.4454344736 +61 30 52.033975920|     ~   |13.9     |     ~   |     ~   |     ~   |K              |   1|   0
145 |2MASS J22300141+6110594            |*  |22 30 01.4176801896 +61 10 59.353692816|     ~   |     ~   |     ~   |     ~   |     ~   |K              |   1|   0
146 |BD+61 2334                         |*  |22 42 56.4202440408 +62 40 11.644120200|     ~   |11.86    |10.31    |     ~   |     ~   |K              |   1|   0
147 |2MASS J22530352+6237081            |Y*O|22 53 03.5351416656 +62 37 08.116781628|18.927   |     ~   |15.96    |     ~   |14.13    |K              |   3|   0
148 |2MASS J22521105+6229464            |TT*|22 52 11.06 +62 29 46.5                |     ~   |     ~   |15.676   |     ~   |     ~   |K              |   1|   0
149 |2MASS J22525012+6227336            |TT*|22 52 50.1205064640 +62 27 33.593340708|18.740   |     ~   |15.54    |     ~   |13.59    |K              |   4|   0
150 |[PNJ2003] 69                       |*  |22 50 58.8164775192 +62 36 50.477370120|     ~   |     ~   |15.553   |     ~   |     ~   |K              |   1|   0
151 |BD+61 2393                         |*  |23 07 11.4178064856 +62 35 42.410304492|     ~   |11.09    |9.42     |     ~   |     ~   |K              |   1|   0
152 |[NF99] 13                          |*  |22 55 27.0 +62 43 32                   |     ~   |     ~   |15.3     |     ~   |     ~   |K              |   1|   0
153 |[NF99] 20                          |TT*|22 56 01.1 +62 47 54                   |     ~   |     ~   |17.94    |     ~   |     ~   |K              |   2|   0
154 |[NF99] 25                          |*  |22 56 20.4 +62 43 26                   |     ~   |     ~   |14.6     |     ~   |     ~   |K              |   1|   0
155 |2MASS J22562007+6252228            |TT*|22 56 20.0837488488 +62 52 22.880213652|20.787   |     ~   |16.74    |     ~   |14.42    |K              |   4|   0
156 |2MASS J22562723+6239197            |Y*O|22 56 27.2329878672 +62 39 19.840007160|16.778   |     ~   |13.89    |     ~   |12.10    |K              |   5|   0
157 |[NF99] 29                          |TT*|22 56 28.6 +62 45 29                   |     ~   |     ~   |15.5     |     ~   |     ~   |K              |   3|   0
158 |2MASS J22563678+6246031            |Y*O|22 56 36.79 +62 46 03.1                |18.616   |     ~   |15.51    |     ~   |14.06    |K              |   5|   0
159 |2MASS J22563865+6237140            |TT*|22 56 38.6650341984 +62 37 14.201237028|18.366   |16.31    |14.62    |     ~   |12.37    |K              |   7|   0
160 |2MASS J22570209+6244070            |Y*O|22 57 02.0936564616 +62 44 07.106698572|19.019   |     ~   |15.30    |     ~   |13.27    |K              |   6|   0
161 |2MASS J22562890+6238411            |TT*|22 56 28.9026524016 +62 38 41.250840756|20.391   |     ~   |16.77    |     ~   |14.31    |K              |   6|   0
162 |2MASS J22540723+6253419            |TT*|22 54 07.2364517688 +62 53 42.014896620|20.499   |     ~   |16.939   |     ~   |     ~   |K              |   2|   0
163 |2MASS J22552505+6236511            |TT*|22 55 25.0496863464 +62 36 51.127511904|19.612   |     ~   |16.16    |     ~   |14.16    |K              |   3|   0
164 |2MASS J22551760+6243231            |Y*O|22 55 17.6044164048 +62 43 23.181773736|18.324   |     ~   |15.71    |     ~   |14.13    |K              |   3|   0
165 |BD+61 2460                         |*  |23 29 49.6716524304 +62 43 09.331257900|     ~   |10.39    |8.94     |     ~   |     ~   |K              |   1|   0
166 |BD+63 31                           |*  |00 21 04.4633180640 +63 52 06.960743148|     ~   |12.41    |10.21    |     ~   |     ~   |K              |   2|   0
167 |BD+62 27                           |*  |00 13 58.9417930608 +63 44 31.150757256|     ~   |11.59    |9.80     |     ~   |     ~   |K              |   2|   0
168 |BD+61 62                           |RB?|00 24 10.5554321400 +62 26 51.567201924|     ~   |11.47    |10.28    |     ~   |     ~   |K              |   2|   0
169 |HD 4320                            |PM*|00 46 27.2797707000 +61 31 54.820776360|     ~   |10.11    |9.66     |     ~   |     ~   |K              |   4|   0
170 |2MASS J01082092+6335382            |*  |01 08 20.9399714832 +63 35 38.241365280|     ~   |12.8     |11.2     |     ~   |     ~   |K              |   2|   0
171 |TYC 4032-1773-1                    |*  |01 43 37.6006973496 +61 37 07.494520728|     ~   |12.38    |11.22    |     ~   |     ~   |K              |   1|   0
172 |BD+54 614                          |*  |02 51 27.6820508712 +55 17 17.284145064|     ~   |12.67    |10.45    |     ~   |     ~   |K              |   1|   0
173 |BD+53 619                          |PM*|03 07 59.9281812480 +54 23 37.386496824|     ~   |11.00    |9.96     |     ~   |     ~   |K              |   2|   0
174 |HD 276172                          |*  |04 17 38.9888085552 +42 13 59.175912648|     ~   |11.88    |10.56    |     ~   |     ~   |K              |   6|   0
175 |BD+49 3186                         |*  |20 06 07.2193456368 +50 16 43.551665004|     ~   |11.09    |10.08    |     ~   |     ~   |K              |   1|   0
176 |TYC 3567-805-1                     |*  |20 03 55.0532705112 +49 55 33.683392776|     ~   |11.43    |10.38    |     ~   |     ~   |K              |   1|   0
177 |BD+48 3060                         |*  |20 13 15.3266895144 +49 18 57.274188156|     ~   |11.54    |10.42    |     ~   |     ~   |K              |   1|   0
178 |StKM 1-1753                        |*  |20 04 52.3533584544 +49 21 49.098647196|     ~   |11.82    |10.19    |     ~   |     ~   |K              |   2|   0
179 |[FS2003] 1090                      |*  |20 45 17.85 +56 41 48.0                |     ~   |     ~   |     ~   |     ~   |     ~   |K              |   2|   0
