C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='O'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
111 |IRAS 16445-3949                    |AB*|16 47 59.7288568416 -39 54 15.075515376|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
112 |IRAS 16499-3956                    |AB*|16 53 26.3623033272 -40 01 43.725639324|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
113 |IRAS 16514-4035                    |AB*|16 54 55.6545474024 -40 40 29.658188460|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
114 |IRAS 16519-3833                    |AB*|16 55 20.1650699616 -38 37 52.774374252|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
115 |IRAS 16522-3941                    |AB*|16 55 39.6512646768 -39 46 36.997349520|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
116 |IRAS 16523-3936                    |AB*|16 55 49.5947214888 -39 41 03.184583748|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
117 |IRAS 16524-3948                    |AB*|16 55 53.7158509560 -39 53 09.685847796|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
118 |IRAS 16524-3824                    |AB*|16 55 52.1922683448 -38 29 06.610443504|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
119 |IRAS 16502-4051                    |OH*|16 53 46.9636173504 -40 56 47.596022736|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   6|   0
120 |V* V596 Sco                        |AB*|17 01 33.5442072120 -38 53 17.175711444|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
121 |IRAS 16527-4001                    |OH*|16 56 09.88776 -40 06 21.4164          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   6|   0
122 |IRAS 16546-4057                    |OH*|16 58 09.42864 -41 02 16.5192          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
123 |IRAS 16581-4058                    |OH*|17 01 37.0807531486 -41 03 01.641172005|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   8|   0
124 |IRAS 16533-3935                    |AB*|16 56 43.9856623464 -39 39 58.592791116|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
