C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:19

sptype='F'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
95  |BD+60 2316                         |*  |21 55 01.3394115624 +60 54 10.571887620|     ~   |10.69    |10.28    |     ~   |     ~   |F              |   2|   0
96  |[PNJ2003] 50                       |*  |22 51 45.635 +62 27 32.94              |     ~   |     ~   |14.676   |     ~   |     ~   |F              |   1|   0
97  |GSC 04282-00406                    |** |23 05 39.8026866288 +62 40 27.937852212|     ~   |11.421   |10.347   |10.007   |     ~   |F              |   1|   0
98  |2MASS J22563906+6245092            |Y*O|22 56 39.0396033864 +62 45 09.125142372|18.494   |     ~   |15.01    |     ~   |13.04    |F              |   7|   0
99  |2MASS J22562974+6238533            |Y*O|22 56 29.7382805616 +62 38 53.522121660|19.464   |     ~   |15.69    |     ~   |13.32    |F              |   3|   0
100 |2MASS J22545157+6241522            |Y*O|22 54 51.5564129832 +62 41 52.151801496|18.507   |16.73    |15.01    |     ~   |13.04    |F              |   4|   0
101 |HD 4442                            |*  |00 47 32.1385707240 +61 29 25.482396696|     ~   |9.12     |8.70     |     ~   |     ~   |F              |   4|   0
102 |TYC 3683-669-1                     |*  |01 43 29.3560866576 +59 37 00.163333560|     ~   |11.5     |10.9     |     ~   |     ~   |F              |   2|   0
103 |LS V +52 9                         |*  |03 27 37.9206257880 +52 19 19.107042672|     ~   |11.92    |11.32    |     ~   |     ~   |F              |   5|   0
104 |Ross 22                            |*  |04 05 15.4110672432 +49 11 43.259001612|     ~   |15.77    |14.81    |14.86    |     ~   |F              |   3|   0
105 |HD 276171                          |*  |04 17 40.2333753528 +42 18 14.244492780|     ~   |11.42    |10.73    |     ~   |     ~   |F              |   2|   0
106 |HD 189297                          |*  |19 57 19.9739967768 +46 13 55.024858704|     ~   |10.84    |10.52    |     ~   |     ~   |F              |   3|   0
107 |HD 191042                          |*  |20 05 49.4342529672 +48 31 13.672363044|     ~   |9.02     |8.92     |     ~   |     ~   |F              |   2|   0
108 |HD 191893                          |*  |20 09 48.4736308512 +51 19 41.762087472|     ~   |9.07     |8.85     |     ~   |     ~   |F              |   3|   0
109 |Cl Trumpler 37 1106                |*  |21 03 54.0447917256 +58 45 44.203665672|     ~   |12.34    |11.63    |     ~   |     ~   |F              |   2|   0
110 |Cl Trumpler 37 14                  |*  |21 04 38.6743978200 +56 50 20.016496356|     ~   |12.7     |     ~   |     ~   |     ~   |F              |   1|   0
111 |Cl Trumpler 37 597                 |*  |21 12 28.9021662936 +57 57 40.532596956|     ~   |12.49    |12.04    |     ~   |     ~   |F              |   2|   0
112 |Cl Trumpler 37 551                 |*  |21 03 13.1546141664 +57 59 42.378111348|     ~   |12.59    |12.12    |     ~   |     ~   |F              |   1|   0
113 |Cl Trumpler 37 9                   |*  |21 04 02.8459546272 +56 51 47.098892376|     ~   |13.00    |11.89    |     ~   |     ~   |F              |   2|   0
114 |Cl Trumpler 37 247                 |*  |21 04 17.9150169072 +57 18 51.870910212|     ~   |13.1     |     ~   |     ~   |     ~   |F              |   1|   0
115 |Cl Trumpler 37 578                 |*  |21 10 10.0948141824 +57 54 46.345417776|     ~   |13.1     |     ~   |     ~   |     ~   |F              |   1|   0
116 |Cl Trumpler 37 1135                |*  |21 08 45.4662951768 +59 05 17.192166000|     ~   |12.40    |11.73    |     ~   |     ~   |F              |   2|   0
117 |Cl Trumpler 37 1174                |*  |21 14 58.5920852856 +59 05 56.014027404|     ~   |12.7     |     ~   |     ~   |     ~   |F              |   1|   0
118 |Cl Trumpler 37 1933                |*  |21 23 53.0924911920 +60 18 58.951233576|     ~   |12.54    |12.24    |     ~   |     ~   |F              |   2|   0
119 |Cl Trumpler 37 1895                |*  |21 18 57.1322137536 +60 20 01.706585604|     ~   |13.00    |11.81    |     ~   |     ~   |F              |   2|   0
120 |Cl Trumpler 37 1907                |*  |21 21 10.4350401672 +60 32 08.754416088|     ~   |12.47    |11.64    |     ~   |     ~   |F              |   2|   0
121 |Cl Trumpler 37 1418                |*  |21 10 57.5529707424 +59 12 24.587092332|     ~   |12.9     |     ~   |     ~   |     ~   |F              |   1|   0
122 |Cl Trumpler 37 1612                |*  |21 06 13.9089653736 +60 03 01.880036964|     ~   |12.9     |     ~   |     ~   |     ~   |F              |   1|   0
123 |Cl Trumpler 37 1669                |*  |21 16 13.6018002240 +60 03 29.776869432|     ~   |12.9     |     ~   |     ~   |     ~   |F              |   1|   0
124 |Cl Trumpler 37 899                 |*  |21 16 04.3899970704 +58 13 26.434045308|     ~   |12.84    |12.28    |     ~   |     ~   |F              |   2|   0
125 |Cl Trumpler 37 1186                |*  |21 16 30.0580828152 +58 56 01.572960696|     ~   |13.0     |     ~   |     ~   |     ~   |F              |   1|   0
126 |Cl Trumpler 37 1443                |*  |21 17 03.6122114040 +59 36 10.519681212|     ~   |12.71    |12.01    |     ~   |     ~   |F              |   2|   0
127 |Cl Trumpler 37 1902                |*  |21 20 14.6433687792 +60 16 18.468687288|     ~   |13.0     |     ~   |     ~   |     ~   |F              |   1|   0
128 |Cl Trumpler 37 1883                |*  |21 17 42.6008062152 +60 20 15.449293644|     ~   |13.2     |     ~   |     ~   |     ~   |F              |   1|   0
129 |Cl Trumpler 37 1364                |*  |21 01 26.1272902762 +59 37 02.601623359|     ~   |12.49    |11.74    |     ~   |     ~   |F              |   1|   0
130 |Cl Trumpler 37 1385                |*  |21 05 37.662 +59 19 17.15              |     ~   |12.57    |11.72    |     ~   |     ~   |F              |   2|   0
131 |Cl Trumpler 37 610                 |*  |21 15 10.5111828816 +58 04 29.864656452|     ~   |12.90    |12.65    |     ~   |     ~   |F              |   2|   0
132 |Cl Trumpler 37 2036                |SB*|21 42 23.9602749864 +60 15 03.444270876|     ~   |13.1     |     ~   |     ~   |     ~   |F              |   1|   0
133 |Cl Trumpler 37 2034                |*  |21 42 11.4097293168 +60 20 04.782461928|     ~   |13.79    |12.58    |     ~   |     ~   |F              |   2|   0
134 |Cl Trumpler 37 1767                |*  |21 31 42.1868722992 +59 56 45.411143820|     ~   |13.1     |     ~   |     ~   |     ~   |F              |   1|   0
135 |TYC 4266-2495-1                    |*  |21 59 54.4080499032 +62 00 04.654778652|     ~   |10.89    |10.29    |     ~   |     ~   |F              |   2|   0
136 |HD 220393                          |*  |23 22 26.9644732800 +67 03 27.576783252|     ~   |9.03     |8.70     |     ~   |     ~   |F              |   3|   0
137 |HD 224738                          |** |00 00 18.778800 +65 56 40.96824        |     ~   |9.345    |9.175    |8.837    |     ~   |F              |   7|   0
138 |BD+60 553                          |*  |02 43 14.8629 +60 46 07.520            |     ~   |12.29    |11.39    |     ~   |     ~   |F              |   2|   0
139 |BD+50 789                          |*  |03 36 26.0641342704 +51 26 24.334146780|     ~   |10.71    |10.19    |     ~   |     ~   |F              |  10|   0
140 |TYC 3332-2208-1                    |PM*|04 10 55.8966965544 +47 36 38.876992236|     ~   |9.88     |9.36     |     ~   |     ~   |F              |   6|   0
141 |HD 276239                          |*  |04 22 26.9465494704 +42 35 20.544815580|     ~   |11.43    |11.25    |     ~   |     ~   |F              |   2|   0
142 |AG+44 1616                         |SB*|19 30 18.5172784536 +45 00 46.720241316|     ~   |11.41    |11.00    |     ~   |     ~   |F              |   3|   0
143 |HD 184216                          |*  |19 31 14.6300440416 +47 03 38.958778404|9.230    |9.150    |8.860    |     ~   |     ~   |F              |  10|   0
144 |HD 187942                          |*  |19 50 23.1997175088 +48 43 54.629450148|     ~   |9.35     |9.03     |     ~   |     ~   |F              |   4|   0
145 |HD 186567                          |Ro*|19 42 48.8430567072 +50 21 39.806399160|     ~   |9.07     |9.21     |     ~   |9.191    |F              |  28|   0
146 |HD 239432                          |*  |20 30 00.4895068680 +56 51 47.040018768|     ~   |11.33    |9.79     |     ~   |     ~   |F              |   2|   0
147 |Cl Trumpler 37 1831                |*  |21 05 25.3517549232 +60 20 53.339563896|     ~   |12.88    |11.84    |     ~   |     ~   |F              |   2|   0
148 |Cl Trumpler 37 1835                |*  |21 06 10.9057337544 +60 30 53.748468504|     ~   |12.63    |11.54    |     ~   |     ~   |F              |   2|   0
149 |Cl Trumpler 37 1839                |*  |21 06 58.6367 +60 28 04.887            |     ~   |12.76    |12.13    |     ~   |     ~   |F              |   2|   0
150 |Cl Trumpler 37 1825                |*  |21 04 02.6322720912 +60 33 41.236194276|     ~   |12.68    |12.34    |     ~   |     ~   |F              |   3|   0
151 |BD+62 1890                         |*  |21 05 26.7248711880 +63 23 24.117598680|     ~   |10.11    |9.81     |     ~   |     ~   |F              |   2|   0
152 |BD+65 1765                         |** |22 24 12.7064785824 +66 15 11.104559820|     ~   |10.238   |9.665    |9.593    |     ~   |F              |   1|   0
153 |HD 20847                           |*  |03 24 27.2083391616 +58 25 52.020228360|     ~   |9.87     |9.51     |     ~   |     ~   |F              |   6|   0
154 |BD+52 760                          |*  |04 05 40.1230014720 +52 24 21.422703492|     ~   |11.86    |11.58    |     ~   |     ~   |F              |   1|   0
155 |HD 26394                           |*  |04 12 41.7098860824 +48 03 18.717528528|     ~   |9.60     |9.19     |     ~   |     ~   |F              |   3|   0
156 |HD 26566                           |*  |04 14 23.3501189952 +49 02 51.957107952|     ~   |9.77     |9.46     |     ~   |     ~   |F              |   3|   0
157 |HD 182420                          |*  |19 22 29.1819073704 +45 52 20.864736660|     ~   |9.60     |9.16     |     ~   |     ~   |F              |   6|   0
158 |TYC 3564-1597-1                    |RG*|19 36 52.2054153288 +49 35 59.382765708|     ~   |12.25    |11.34    |     ~   |     ~   |Flat           |  27|   0
159 |BD+53 2307                         |*  |19 50 35.7363797904 +53 52 10.721486568|     ~   |10.32    |10.09    |     ~   |     ~   |F              |   2|   0
160 |HD 194974                          |*  |20 25 36.6207863496 +59 18 56.202479532|     ~   |9.12     |8.71     |     ~   |     ~   |F              |   3|   0
161 |HD 196052                          |Pu*|20 31 26.7557128632 +63 18 16.486728552|     ~   |9.52     |9.19     |     ~   |     ~   |F              |   5|   0
162 |HD 197006                          |*  |20 37 39.4825397184 +62 41 52.590787152|     ~   |9.20     |8.90     |     ~   |     ~   |F              |   2|   0
163 |BD+65 1605                         |*  |21 34 31.0806115128 +66 10 39.525498588|     ~   |11.29    |10.90    |     ~   |     ~   |F              |   1|   0
164 |HD 202047                          |Pu*|21 10 00.9167368392 +67 04 56.620943544|     ~   |9.48     |9.14     |     ~   |     ~   |F              |   2|   0
165 |TYC 4261-374-1                     |*  |21 29 45.7651695024 +67 00 08.916672276|     ~   |11.41    |10.92    |     ~   |     ~   |F              |   2|   0
166 |BD+66 1450                         |*  |21 52 40.7674067856 +67 24 11.490879636|     ~   |10.70    |10.25    |     ~   |     ~   |F              |   3|   0
167 |BD+67 163                          |PM*|01 51 39.4336653264 +68 24 51.886498572|     ~   |9.91     |9.44     |     ~   |     ~   |F              |   1|   0
168 |HD 14578                           |*  |02 24 16.9575368160 +66 10 43.684241808|     ~   |9.74     |9.26     |     ~   |     ~   |F              |   2|   0
169 |HD 23242                           |*  |03 46 43.1014225296 +59 48 16.247346912|10.100   |9.940    |9.570    |     ~   |     ~   |F              |  12|   0
170 |HD 28987                           |*  |04 36 13.0431107712 +47 21 23.831546544|     ~   |8.38     |7.85     |     ~   |     ~   |F              |  17|   0
171 |HD 194162                          |*  |20 20 21.7987523784 +64 28 21.678256056|     ~   |9.71     |9.33     |     ~   |     ~   |F              |   2|   0
172 |HD 195745                          |*  |20 29 19.3315932864 +65 10 08.839858620|     ~   |9.98     |9.73     |     ~   |     ~   |F              |   3|   0
173 |HD 195293                          |*  |20 26 20.4979585752 +66 28 38.112241440|     ~   |9.86     |9.57     |     ~   |     ~   |F              |   3|   0
174 |HD 221176                          |*  |23 28 37.8875456544 +74 53 36.962211552|     ~   |9.69     |9.29     |     ~   |     ~   |F              |   2|   0
175 |BD+74 26                           |*  |00 45 36.4313002224 +74 51 18.631885716|     ~   |9.65     |9.23     |     ~   |     ~   |F              |   1|   0
176 |HD 5371                            |Pu*|00 57 31.7143275552 +75 18 04.831233120|     ~   |8.99     |8.46     |     ~   |     ~   |F              |   3|   0
177 |BD+65 334                          |PM*|03 16 26.7178165992 +66 29 26.723564340|     ~   |10.06    |9.57     |     ~   |     ~   |F              |   1|   0
