,Spectral Class,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(K)
408,A,0,0,14.1,0,0,14.102062,13.474,13.32
409,G,0,10.67,10.05,0,0,10.056972,9.059,8.781
410,A,0,9.35,9.19,0,0,9.206617,8.774,8.711
411,B,0,10.85,10.53,0,0,10.343959,9.484,9.368
412,B,11.17,10.8,9.7,0,0,9.005073,6.592,5.965
413,M,0,11.3,9.39,0,0,8.031132,4.941,3.606
414,F,0,9.67,9.32,0,0,9.274847,8.699,8.528
415,M,0,16.8,0,0,0,11.360688,7.204,5.542
416,A,0,12.07,11.23,0,0,11.391005,10.316,10.074
417,F,0,0,14.28,0,0,14.268811,13.714,13.346
418,F,0,0,14.45,0,0,14.332953,13.438,13.129
419,M,0,12.28,10.38,0,0,8.71519,5.31,4.151
420,O,0,0,0,0,0,0,0,0
421,F,0,9.8,9.37,0,0,9.258774,8.405,8.152
422,K,0,11.61,10.47,0,0,10.059017,8.222,7.533
423,G,0,17.0,0,0,0,16.277359,15.211,14.814
424,G,0,10.0,0,0,0,11.454664,10.351,10.048
425,B,0,12.58,11.76,0,0,11.814446,10.63,10.267
426,A,0,11.29,11.07,0,0,11.037708,10.465,10.319
427,B,7.79,8.51,8.5,0,0,8.276579,7.791,7.434
428,F,0,11.71,11.49,0,0,11.028316,9.938,9.694
429,F,0,9.48,9.12,0,0,9.05548,8.394,8.173
430,F,15.03,14.9,14.63,0,0,14.702073,13.956,13.613
431,M,0,15.0,0,13.3,0,13.417707,11.03,10.222
432,K,0,0,15.3,0,0,0,0,0
433,G,0,9.65,9.04,0,0,8.921242,7.93,7.609
434,K,0,11.13,9.7,0,0,9.200025,7.168,6.323
435,B,0,11.1,10.55,0,0,10.406246,9.111,8.838
436,M,0,0,0,0,0,14.113429,8.88,7.253
437,O,0,0,0,0,0,14.642225,8.947,6.906
438,O,6.11,6.69,6.27,7.49,0,6.146645,5.324,5.059
439,G,0,11.45,11.14,0,0,10.750116,9.557,9.153
440,G,0,12.18,11.24,0,0,11.273948,9.826,9.411
441,K,0,10.55,10.21,0,0,10.104386,9.453,9.227
442,F,0,17.5,0,17.0,0,17.216156,16.21,15.83
443,F,0,9.7,9.32,0,0,9.322933,8.787,8.508
444,B,12.73,13.09,12.57,0,0,12.425925,11.438,11.229
445,F,0,8.87,8.55,0,0,8.477314,7.868,7.727
446,M,0,0,0,13.35,0,12.291829,8.69,7.257
447,O,0,0,0,0,0,14.744263,7.975,5.675
448,O,0,0,0,0,0,15.505545,8.543,5.713
449,M,0,14.471,12.208,0,9.281,10.610714,6.985,5.407
450,G,0,16.5,0,0,0,16.538319,15.176,14.937
451,F,0,11.73,11.18,11.05,0,11.436,10.1,9.795
452,F,0,0,13.82,0,0,0,0,0
453,G,0,11.5,0,0,0,0,0,0
454,K,0,11.39,10.68,0,0,10.664388,9.678,9.348
455,B,12.66,12.92,12.14,0,0,11.945821,10.465,10.159
456,G,0,11.4,11.03,0,0,10.683095,9.778,9.413
457,K,0,11.18,9.77,0,0,9.13073,6.747,5.854
458,G,0,11.93,11.08,0,0,11.150744,9.915,9.546
459,A,0,8.99,8.81,0,0,9.144018,8.408,8.356
460,B,12.36,12.49,11.66,0,0,11.603075,10.377,10.155
461,B,0,10.92,10.51,0,0,10.500541,9.8,9.706
462,G,0,11.55,11.26,0,0,11.215701,10.086,9.75
463,B,0,10.56,10.08,0,0,9.875074,8.856,8.683
464,O,0,0,0,0,0,13.675657,7.239,5.331
